AE SCR 2CFC20 ALARM:6854:-:Average:900;AESCR_ALARM_AVERAGE
ME3 CYL3 VD EXH TEMP:3106:C:Average:900;testME3 CYL3 VD EXH TEMP:3106:C:Average:900
ME3 CYL4 LINER 1 TEM:3010:C:Average:900;testME3 CYL4 LINER 1 TEM:3010:C:Average:900
ME3 CYL4 LINER 2 TEM:3011:C:Average:900;testME3 CYL4 LINER 2 TEM:3011:C:Average:900
ME3 CYL4 LINER 3 TEM:3012:C:Average:900;testME3 CYL4 LINER 3 TEM:3012:C:Average:900
ME3 CYL4 VC EXH TEMP:3107:C:Average:900;testME3 CYL4 VC EXH TEMP:3107:C:Average:900
ME3 CYL4 VD EXH TEMP:3108:C:Average:900;testME3 CYL4 VD EXH TEMP:3108:C:Average:900
ME3 CYL5 LINER 1 TEM:3013:C:Average:900;testME3 CYL5 LINER 1 TEM:3013:C:Average:900
ME3 CYL5 LINER 2 TEM:3014:C:Average:900;testME3 CYL5 LINER 2 TEM:3014:C:Average:900
ME3 CYL5 LINER 3 TEM:3015:C:Average:900;testME3 CYL5 LINER 3 TEM:3015:C:Average:900
ME3 CYL5 VC EXH TEMP:3109:C:Average:900;testME3 CYL5 VC EXH TEMP:3109:C:Average:900
ME3 CYL5 VD EXH TEMP:3110:C:Average:900;testME3 CYL5 VD EXH TEMP:3110:C:Average:900
ME3 CYL6 LINER 1 TEM:3016:C:Average:900;testME3 CYL6 LINER 1 TEM:3016:C:Average:900
ME3 CYL6 LINER 2 TEM:3017:C:Average:900;testME3 CYL6 LINER 2 TEM:3017:C:Average:900
ME3 CYL6 LINER 3 TEM:3018:C:Average:900;testME3 CYL6 LINER 3 TEM:3018:C:Average:900
ME3 CYL6 VC EXH TEMP:3111:C:Average:900;testME3 CYL6 VC EXH TEMP:3111:C:Average:900
ME3 CYL6 VD EXH TEMP:3112:C:Average:900;testME3 CYL6 VD EXH TEMP:3112:C:Average:900
ME3 ENGINE SPEED:3364:rpm:Average:3600;testME3 ENGINE SPEED:3364:rpm:Average:3600
ME3 ENGINE SPEED:3364:rpm:Average:900;testME3 ENGINE SPEED:3364:rpm:Average:900
ME3 ENGINE SPEED:3364:rpm:Raw data:900;testME3 ENGINE SPEED:3364:rpm:Raw data:900
ME3 EXH GAS MEAN:3125:C:Average:3600;testME3 EXH GAS MEAN:3125:C:Average:3600
ME3 EXH GAS MEAN:3125:C:Average:900;testME3 EXH GAS MEAN:3125:C:Average:900
ME3 EXH GAS MEAN:3125:C:Raw data:900;testME3 EXH GAS MEAN:3125:C:Raw data:900
ME3 FO INLET PRESS:3301:bar:Average:900;testME3 FO INLET PRESS:3301:bar:Average:900
ME3 FO INLET TEMP:3302:C:Average:900;testME3 FO INLET TEMP:3302:C:Average:900
ME3 FUEL RACK POSIT:30005:%:Average:3600;testME3 FUEL RACK POSIT:30005:%:Average:3600
ME3 FUEL RACK POSIT:30005:%:Average:900;testME3 FUEL RACK POSIT:30005:%:Average:900
ME3 FUEL RACK POSIT:30005:%:Raw data:900;testME3 FUEL RACK POSIT:30005:%:Raw data:900
ME3 HT INLET PRESS:3201:bar:Average:900;testME3 HT INLET PRESS:3201:bar:Average:900
ME3 HT INLET PRESS:3211:-:Average:900;testME3 HT INLET PRESS:3211:-:Average:900
ME3 HT OUTLET TEMP:3203:C:Average:900;testME3 HT OUTLET TEMP:3203:C:Average:900
ME3 HT OUTLET TEMP:3212:-:Average:900;testME3 HT OUTLET TEMP:3212:-:Average:900
ME3 HT OUTLET TEMP:3212SHD:-:Average:900;testME3 HT OUTLET TEMP:3212SHD:-:Average:900
ME3 HT WATR INL TEMP:3202:C:Average:900;testME3 HT WATR INL TEMP:3202:C:Average:900
ME3 LO INLET PRESS:3321:bar:Average:900;testME3 LO INLET PRESS:3321:bar:Average:900
ME3 LO INLET PRESS:3326:-:Average:900;testME3 LO INLET PRESS:3326:-:Average:900
ME3 LO INLET TEMP:3322:C:Average:900;testME3 LO INLET TEMP:3322:C:Average:900
ME3 LO INLET TEMP:3327:-:Average:900;testME3 LO INLET TEMP:3327:-:Average:900
ME3 LO TEMP TC OUTLE:3329:C:Average:900;testME3 LO TEMP TC OUTLE:3329:C:Average:900
ME3 LT INLET PRESS:3251:bar:Average:900;testME3 LT INLET PRESS:3251:bar:Average:900
ME3 LT INLET TEMP:3252:C:Average:900;testME3 LT INLET TEMP:3252:C:Average:900
ME3 RUNNING:30004:-:Average:3600;testME3 RUNNING:30004:-:Average:3600
ME3 RUNNING:30004:-:Raw data:900;testME3 RUNNING:30004:-:Raw data:900
ME3 SCR CF54 RED AG:3441:l/h:Average:900;testME3 SCR CF54 RED AG:3441:l/h:Average:900
ME3 SCR CP153 COMP A:3418:-:Average:900;testME3 SCR CP153 COMP A:3418:-:Average:900
ME3 SCR CP154 COMP A:3417:-:Average:900;testME3 SCR CP154 COMP A:3417:-:Average:900
ME3 SCR CP53 RED AG:3442:bar:Average:900;testME3 SCR CP53 RED AG:3442:bar:Average:900
ME3 SCR CP58 DIFF PR:3438:mbar:Average:900;testME3 SCR CP58 DIFF PR:3438:mbar:Average:900
ME3 SCR CT55 TEMP IN:3439:C:Average:900;testME3 SCR CT55 TEMP IN:3439:C:Average:900
ME3 SCR CT56 TEMP OT:3440:C:Average:900;testME3 SCR CT56 TEMP OT:3440:C:Average:900
ME3 SCR FUSE FAULT:3412:-:Average:900;testME3 SCR FUSE FAULT:3412:-:Average:900
ME3 SCR GAS SAMPLE L:3422:-:Average:900;testME3 SCR GAS SAMPLE L:3422:-:Average:900
ME3 SCR GAS SAMPLE P:3421:-:Average:900;testME3 SCR GAS SAMPLE P:3421:-:Average:900
ME3 SCR LOAD SIGNAL:3423:-:Average:900;testME3 SCR LOAD SIGNAL:3423:-:Average:900
ME3 SCR NOX LEVEL:3444:ppm:Average:900;testME3 SCR NOX LEVEL:3444:ppm:Average:900
ME3 SCR NOX LEVEL:3444CALC:g/kWh:Average:900;testME3 SCR NOX LEVEL:3444CALC:g/kWh:Average:900
ME3 SPEED MEASURING:3372:-:Average:900;testME3 SPEED MEASURING:3372:-:Average:900
ME3 T/C SPEED:30006:rpm:Average:3600;testME3 T/C SPEED:30006:rpm:Average:3600
ME3 T/C SPEED:30006:rpm:Average:900;testME3 T/C SPEED:30006:rpm:Average:900
ME3 T/C SPEED:30006:rpm:Raw data:900;testME3 T/C SPEED:30006:rpm:Raw data:900
ME3 TC BY-PASS VALVE:3368:-:Average:3600;testME3 TC BY-PASS VALVE:3368:-:Average:3600
ME3 TC BY-PASS VALVE:3368:-:Raw data:900;testME3 TC BY-PASS VALVE:3368:-:Raw data:900
ME3 TC INL EXH TEMP:3161:C:Average:3600;testME3 TC INL EXH TEMP:3161:C:Average:3600
ME3 TC INL EXH TEMP:3161:C:Average:900;testME3 TC INL EXH TEMP:3161:C:Average:900
ME3 TC INL EXH TEMP:3161:C:Raw data:900;testME3 TC INL EXH TEMP:3161:C:Raw data:900
ME3 TC OTL EXH TEMP:3162:C:Average:3600;testME3 TC OTL EXH TEMP:3162:C:Average:3600
ME3 TC OTL EXH TEMP:3162:C:Average:900;testME3 TC OTL EXH TEMP:3162:C:Average:900
ME3 TC OTL EXH TEMP:3162:C:Raw data:900;testME3 TC OTL EXH TEMP:3162:C:Raw data:900
ME4 CA PRESS COOL OU:4342:bar:Average:900;testME4 CA PRESS COOL OU:4342:bar:Average:900
ME4 CA TEMP COOL OUT:4343:C:Average:900;testME4 CA TEMP COOL OUT:4343:C:Average:900
ME4 CYL1 LINER 1 TEM:4001:C:Average:900;testME4 CYL1 LINER 1 TEM:4001:C:Average:900
ME4 CYL1 LINER 2 TEM:4002:C:Average:900;testME4 CYL1 LINER 2 TEM:4002:C:Average:900
ME4 CYL1 LINER 3 TEM:4003:C:Average:900;testME4 CYL1 LINER 3 TEM:4003:C:Average:900
ME4 CYL1 VC EXH TEMP:4101:C:Average:900;testME4 CYL1 VC EXH TEMP:4101:C:Average:900
ME4 CYL1 VD EXH TEMP:4102:C:Average:900;testME4 CYL1 VD EXH TEMP:4102:C:Average:900
