AE SCR 2CFC20 ALARM:6854:-:Average:900;AESCR_ALARM_AVERAGE
AE2 CYL4 LINER 2 TEM:2726:-:Average:900;testAE2 CYL4 LINER 2 TEM:2726:-:Average:900
AE2 CYL4 VC EXH TEMP:2507:  C:Average:900;testAE2 CYL4 VC EXH TEMP:2507:  C:Average:900
AE2 CYL4 VD EXH TEMP:2508:  C:Average:900;testAE2 CYL4 VD EXH TEMP:2508:  C:Average:900
AE2 CYL5 LINER 1 TEM:2727:  C:Average:900;testAE2 CYL5 LINER 1 TEM:2727:  C:Average:900
AE2 CYL5 LINER 1 TEM:2729:-:Average:900;testAE2 CYL5 LINER 1 TEM:2729:-:Average:900
AE2 CYL5 LINER 2 TEM:2731:  C:Average:900;testAE2 CYL5 LINER 2 TEM:2731:  C:Average:900
AE2 CYL5 LINER 2 TEM:2733:-:Average:900;testAE2 CYL5 LINER 2 TEM:2733:-:Average:900
AE2 CYL5 VC EXH TEMP:2509:  C:Average:900;testAE2 CYL5 VC EXH TEMP:2509:  C:Average:900
AE2 CYL5 VD EXH TEMP:2510:  C:Average:900;testAE2 CYL5 VD EXH TEMP:2510:  C:Average:900
AE2 CYL6 LINER 1 TEM:2734:  C:Average:900;testAE2 CYL6 LINER 1 TEM:2734:  C:Average:900
AE2 CYL6 LINER 1 TEM:2736:-:Average:900;testAE2 CYL6 LINER 1 TEM:2736:-:Average:900
AE2 CYL6 LINER 2 TEM:2737:  C:Average:900;testAE2 CYL6 LINER 2 TEM:2737:  C:Average:900
AE2 CYL6 LINER 2 TEM:2739:-:Average:900;testAE2 CYL6 LINER 2 TEM:2739:-:Average:900
AE2 CYL6 VC EXH TEMP:2511:  C:Average:900;testAE2 CYL6 VC EXH TEMP:2511:  C:Average:900
AE2 CYL6 VD EXH TEMP:2512:  C:Average:900;testAE2 CYL6 VD EXH TEMP:2512:  C:Average:900
AE2 CYLINDER LINERS:2701_S:C:Average:900;testAE2 CYLINDER LINERS:2701_S:C:Average:900
